32
1328	1758	1535	1226	1601	1855	1251	1105	1670	1652	2043	1395	1268	2010	2026	0	1240	1988	1350	1706	1836	1223	1961	1030	1183	1895	1217	1078	1027	1085	1616	1544	
1322	1929	1958	1372	1870	1258	1207	1994	2011	1597	1813	1853	1834	1918	1542	1240	0	1892	1883	1476	1747	1649	1450	1775	1583	1755	1396	1830	1617	1722	1271	1145	
1700	1778	1692	1295	1515	1711	1605	1800	1529	1760	1801	1832	1868	1565	1269	1988	1892	0	1033	1890	1472	1992	1577	1122	1669	1965	1920	1070	1683	1242	1638	1555	
1735	2002	1553	1029	1730	1856	1141	1894	1875	1744	1260	1945	1972	1685	1871	1350	1883	1033	0	1913	1301	1667	1712	1289	1415	1329	2003	1360	1571	1549	1155	1695	
1036	2036	2045	2044	1780	1419	1991	1413	1987	1631	1826	1678	1079	1063	1809	1706	1476	1890	1913	0	1854	1909	1233	1111	1077	2012	1531	1560	1502	1598	1897	1193	
1630	1959	1696	1097	1438	1421	1483	1980	1786	1439	1154	1432	1125	1297	1796	1836	1747	1472	1301	1854	0	1057	1701	1074	1190	1084	1704	1037	1538	1428	1724	1919	
1793	1454	1282	1101	1574	1205	1822	1444	1517	1352	1227	1464	1990	1563	1139	1223	1649	1992	1667	1909	1057	0	1539	1815	1425	1407	1925	1390	1651	1584	1369	1824	
1156	1095	1637	1446	1888	1618	1957	1739	1658	1921	1694	1623	1367	1749	1375	1961	1450	1577	1712	1233	1701	1539	0	1911	1040	1204	1481	1582	1052	1947	1273	1767	
1908	1533	1934	1635	1202	1245	1447	1966	1129	1467	1981	1632	1259	1995	1178	1030	1775	1122	1289	1111	1074	1815	1911	0	1147	1187	1903	1978	1825	1389	1977	1764	
1381	1746	1580	1211	1723	1264	1148	1089	1182	1083	1676	1292	1161	1615	1348	1183	1583	1669	1415	1077	1190	1425	1040	1147	0	1498	2020	1821	1342	1387	1331	1556	
1299	1499	1899	1914	1689	1469	1860	1562	1975	1160	1857	1370	1071	1065	1731	1895	1755	1965	1329	2012	1084	1407	1204	1187	1498	0	1845	1789	1910	2019	1123	1688	
1081	1214	1119	1212	1346	1829	1585	1579	1551	1118	1237	1558	1625	1933	1784	1217	1396	1920	2003	1531	1704	1925	1481	1903	2020	1845	0	1967	1200	1333	1971	1998	
1640	1867	1137	1511	1976	1956	1318	1516	2029	1045	1985	1418	1126	1112	2022	1078	1830	1070	1360	1560	1037	1390	1582	1978	1821	1789	1967	0	1315	1663	1508	1320	
1298	1673	1718	1326	1627	1225	1849	1641	1907	1343	1167	2038	1365	2000	1848	1027	1617	1683	1571	1502	1538	1651	1052	1825	1342	1910	1200	1315	0	1174	1713	1368	
1774	1300	1833	1624	1935	1927	1886	1158	1776	1321	1108	1410	1229	1224	1756	1085	1722	1242	1549	1598	1428	1584	1947	1389	1387	2019	1333	1663	1174	0	1687	1698	
1241	1861	1054	1335	1546	1567	1073	1569	1324	1048	1808	1163	1926	1902	1043	1616	1271	1638	1155	1897	1724	1369	1273	1977	1331	1123	1971	1508	1713	1687	0	1457	
1752	1184	1715	1550	1128	1639	1399	1165	1732	1286	1056	1588	1400	1984	1110	1544	1145	1555	1695	1193	1919	1824	1767	1764	1556	1688	1998	1320	1368	1698	1457	0	
